LIMIT_BAL,EDUCATION,PAY_2,PAY_3,PAY_6
60000,2,0,0,0
110000,1,0,0,0
370000,1,-2,-2,-2
100000,2,2,2,0
90000,2,0,0,2
50000,2,0,0,0
270000,2,0,0,0
300000,1,-1,-1,-1
50000,2,0,0,0
50000,1,-2,-2,-2
360000,1,-2,-1,-2
130000,3,2,2,3
80000,1,-1,0,0
50000,2,2,0,2
20000,2,0,0,0
80000,2,0,2,0
240000,1,-1,2,-1
80000,3,-1,0,0
500000,1,0,0,0
60000,2,0,0,0
20000,2,0,0,-1
100000,2,2,0,0
360000,1,-1,-1,-1
200000,3,2,2,2
130000,2,-1,0,0
20000,2,5,4,2
310000,1,0,0,0
60000,1,0,0,0
180000,1,-1,-1,0
180000,1,-1,2,-2
50000,2,0,0,-1
50000,1,2,2,2
150000,2,-2,-2,-2
20000,1,0,0,0
500000,1,-2,-2,-1
30000,3,2,2,0
180000,1,-2,-2,-2
140000,1,0,2,2
140000,1,0,-1,-1
120000,2,0,0,0
360000,2,0,0,0
20000,3,-1,0,0
100000,1,-1,-1,-1
210000,2,-1,-1,-1
80000,2,0,0,0
330000,1,-1,-1,-2
220000,1,0,0,-1
210000,1,-2,-1,-1
40000,3,0,0,0
30000,2,0,0,0
470000,2,2,2,0
30000,3,-1,-1,2
240000,2,-2,-2,-2
80000,2,0,0,0
110000,3,0,0,0
310000,1,-1,-1,-2
360000,1,2,2,0
330000,3,0,0,0
300000,2,0,0,0
320000,2,0,0,0
50000,3,3,2,0
170000,1,0,0,0
350000,3,-1,-1,-2
20000,2,0,0,0
50000,2,0,0,0
20000,3,2,0,0
50000,1,0,0,0
20000,2,2,0,0
50000,2,0,-2,0
190000,2,0,0,2
60000,2,0,0,0
80000,1,-1,-1,-1
150000,2,0,0,0
210000,1,-2,-2,-1
240000,3,0,0,0
140000,2,0,0,0
60000,1,2,2,-1
50000,1,0,0,0
50000,2,0,0,0
180000,1,-1,2,-1
30000,1,-1,2,2
20000,2,0,0,-2
250000,2,-1,-1,-1
100000,2,0,0,0
330000,1,0,0,0
50000,3,0,0,0
50000,2,2,2,0
30000,2,0,0,0
140000,2,0,0,0
160000,1,0,0,0
400000,2,0,-1,-1
50000,2,0,0,0
140000,2,-1,-1,-1
160000,2,-1,-1,-1
100000,3,0,-2,-2
220000,1,0,0,0
510000,1,0,0,0
50000,2,0,0,0
160000,1,-1,-1,-1
230000,1,-2,-2,-2
80000,1,-1,-1,-1
150000,2,-1,-2,-1
10000,3,0,0,2
130000,3,0,0,0
40000,1,0,0,0
50000,2,2,2,-1
100000,3,0,0,0
120000,1,2,-1,0
260000,1,-2,-2,-2
200000,2,0,0,0
360000,2,-2,-2,-2
70000,2,0,0,0
460000,1,-1,-1,-1
50000,1,-1,-1,-1
50000,3,0,0,0
250000,2,0,0,0
30000,1,0,-1,-2
270000,2,0,0,-1
180000,3,0,0,0
100000,1,0,0,0
230000,3,0,0,0
210000,1,-1,-1,-1
210000,1,0,0,0
440000,2,0,0,0
100000,2,0,0,0
240000,2,0,0,0
280000,1,-1,-1,-1
50000,2,-2,-2,-2
30000,2,2,2,2
10000,2,0,2,0
130000,1,-2,-2,-2
200000,1,0,0,0
120000,2,-1,-1,-1
210000,2,0,0,0
280000,1,0,0,0
300000,1,-2,-1,-1
100000,2,0,0,0
440000,1,-2,-2,-2
50000,3,0,0,0
20000,1,0,2,0
200000,1,-1,-1,0
110000,2,-2,-2,-2
500000,2,-1,-1,-1
300000,2,-1,-1,-2
30000,3,2,2,4
60000,1,-1,-1,-1
400000,2,0,-1,-1
180000,2,0,0,0
20000,1,0,0,0
200000,3,2,2,0
100000,1,0,0,0
60000,2,0,0,0
110000,2,0,0,0
260000,3,-1,-1,-1
50000,3,2,2,0
180000,2,-2,-2,-2
110000,2,2,2,0
340000,1,0,0,0
50000,2,0,0,0
230000,2,0,0,-1
360000,2,0,0,0
210000,2,-2,-1,0
220000,2,2,2,-1
60000,2,2,2,0
340000,2,-1,-1,-2
150000,1,2,2,2
200000,2,-1,2,-1
130000,2,0,2,0
60000,1,2,0,0
400000,2,-2,-2,-1
20000,1,0,0,0
190000,1,0,0,0
260000,1,0,0,0
140000,2,-2,-2,-2
50000,2,0,0,0
120000,1,-1,0,-1
240000,2,-2,-2,-2
50000,2,0,0,0
200000,1,2,-1,2
180000,1,0,-1,-1
180000,1,0,0,0
160000,1,-1,-2,0
100000,2,-1,-1,0
50000,2,0,0,0
140000,2,0,0,0
30000,2,0,0,0
90000,1,0,-1,-1
200000,1,-2,-1,-1
380000,1,-2,-2,-2
80000,2,0,0,0
50000,3,2,2,2
180000,2,0,0,0
240000,2,0,0,0
380000,2,0,0,0
110000,4,0,0,0
260000,1,-1,-1,-1
500000,2,3,2,0
320000,2,0,0,0
50000,2,3,2,0
110000,1,-2,-1,-1
230000,1,-2,-2,-2
330000,2,-1,-1,-1
50000,2,0,0,0
10000,2,2,2,0
300000,1,-2,-2,-2
20000,2,2,0,0
180000,2,2,-2,-2
160000,1,-1,-1,-1
90000,1,0,0,2
30000,3,0,0,0
180000,1,0,0,0
30000,3,0,0,0
30000,2,2,0,2
140000,1,0,0,-1
210000,1,0,0,0
50000,2,0,0,0
130000,2,0,0,0
50000,2,2,2,0
140000,3,0,0,0
170000,2,0,0,0
80000,2,0,0,-2
410000,5,0,0,0
80000,1,-1,-1,-2
80000,3,0,0,2
150000,2,0,0,0
260000,1,-1,-1,-1
350000,1,-2,-2,-2
280000,2,-1,0,0
310000,2,0,0,0
140000,2,0,0,0
360000,1,-1,-1,-2
140000,1,0,0,0
100000,1,0,0,0
50000,2,-2,-2,-2
210000,2,0,0,0
120000,2,2,2,2
240000,1,0,0,-1
60000,3,0,0,0
150000,1,-1,-1,2
30000,2,0,0,0
160000,1,2,2,2
200000,1,-2,-2,-2
120000,2,0,0,-2
500000,1,2,0,0
320000,1,0,0,0
280000,1,0,0,0
60000,1,2,2,2
200000,1,-1,-2,-2
230000,1,-2,-1,-1
230000,2,2,0,0
480000,3,-2,-2,-2
50000,3,-1,-1,-2
200000,1,-2,-2,-2
50000,1,0,0,2
50000,2,0,0,0
260000,1,-2,-2,-2
30000,1,0,0,2
440000,1,0,0,0
230000,2,-1,-1,-1
200000,2,2,2,0
490000,2,0,0,0
80000,2,-1,-2,-2
20000,3,2,2,0
170000,1,-1,-1,-1
70000,1,0,0,0
210000,2,0,0,0
90000,2,0,0,0
390000,1,0,0,0
110000,1,0,0,0
580000,1,0,0,0
360000,3,0,-1,-2
270000,2,2,2,2
60000,1,-1,-2,-1
110000,3,0,0,0
50000,1,0,0,0
80000,1,0,0,0
50000,2,-1,-1,0
100000,1,0,0,2
30000,1,-2,-1,-1
200000,1,0,0,0
240000,1,0,0,0
220000,2,0,0,0
160000,1,0,0,0
180000,1,-1,-1,-1
200000,4,0,0,0
140000,3,0,0,0
380000,1,-2,-2,-2
600000,1,2,0,0
260000,2,0,0,0
200000,1,0,-2,-2
80000,2,0,0,0
40000,2,0,0,-1
130000,3,2,2,2
50000,1,0,0,-2
230000,2,-1,-1,-1
70000,2,0,0,-1
180000,2,0,0,0
80000,2,-1,-1,-1
290000,2,0,0,0
230000,1,0,0,0
170000,3,-2,-1,-1
230000,1,0,0,0
220000,1,0,0,0
230000,2,0,0,0
500000,2,0,0,0
90000,1,-1,-1,-1
390000,3,0,0,0
400000,2,0,0,0
180000,2,-1,-1,-1
60000,3,2,2,2
120000,2,-1,-1,-1
60000,2,0,0,0
50000,1,0,0,0
70000,2,0,0,0
500000,1,2,-1,0
200000,1,-2,-2,-2
250000,2,0,0,2
140000,2,0,2,2
70000,2,0,0,2
90000,3,2,2,2
100000,2,-1,-1,-1
190000,2,0,0,0
230000,1,-1,-1,-1
320000,2,0,0,0
220000,2,-1,-1,-1
260000,1,-1,-1,-1
90000,2,-2,-2,-2
30000,2,2,2,0
260000,2,0,0,0
170000,2,0,-1,-2
80000,1,0,0,0
50000,1,-1,-1,-1
200000,3,0,0,0
20000,2,0,2,0
250000,1,-1,-2,-1
20000,1,0,0,0
