SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT6
1,2,1,39,0,0,0,0,0,-1,72060,69938,16518,14096,4025,2095,1000,2000,0
1,1,2,29,2,2,2,2,2,2,24300,26591,25865,27667,0,2700,0,2225,0
2,2,1,46,0,0,0,-2,-2,-2,29166,0,0,0,1000,0,0,0,0
2,2,1,51,-1,-1,-2,-2,-1,-1,0,0,0,2353,0,0,0,2353,0
1,1,1,57,-2,-2,-2,-1,2,2,148751,144076,8174,8198,0,0,8222,300,1000
1,2,1,56,2,2,2,0,0,0,4193,3978,4062,4196,2300,0,150,200,160
2,1,2,30,2,-1,-1,-1,-1,-1,300,1159,2280,300,300,1159,2280,300,909
2,3,2,29,1,-2,-2,-1,2,-1,-9850,-9850,10311,10161,0,0,20161,0,13899
1,5,2,22,2,0,0,0,0,0,17204,17285,18085,11205,0,1200,1000,500,0
1,1,2,31,-1,-1,-1,-1,-1,-1,0,390,390,390,0,390,390,390,390
1,2,2,29,2,2,2,2,2,2,59246,60184,58622,62307,2500,2500,0,4800,1600
2,2,1,32,-1,-1,-1,-1,2,-1,5787,-684,5247,3848,5818,15,9102,17,1395
2,1,2,37,1,-2,-1,-1,-1,-1,0,3155,0,2359,0,3155,0,2359,0
1,1,2,32,-1,-1,-1,-1,-1,-1,5550,23337,4291,80153,5713,23453,4314,80552,2016
1,2,2,24,0,0,2,0,0,0,17216,16642,16976,17332,2850,0,610,630,0
1,3,2,25,-1,0,0,0,0,0,37225,36087,9636,9590,1759,1779,320,500,1000
2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291
2,2,2,22,0,0,0,0,0,0,29612,30326,28004,26446,1686,1400,560,3000,0
2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,3,3,33,0,0,0,0,0,0,157784,162702,69923,29271,6400,7566,3000,960,3000
2,1,2,26,0,0,0,0,0,-1,27796,30400,33100,180000,4796,3400,3100,146900,2963
1,3,2,30,0,0,0,0,0,0,27471,28108,21993,19899,1576,1213,648,768,0
2,2,1,44,0,0,2,0,0,0,139060,126819,104430,104990,10700,3,3050,3000,2800
2,3,2,49,0,0,0,0,0,0,47863,21489,20414,19342,1676,1302,700,699,826
1,2,2,33,0,0,0,0,0,0,107808,71934,118418,118407,4400,3547,80000,4500,4500
2,1,1,45,-1,-1,2,0,-1,-1,1170,780,390,390,1170,0,0,390,390
2,2,2,32,0,0,0,0,0,-1,4751,6604,8604,7072,1147,2000,2000,0,2303
2,1,1,35,0,0,0,-1,-1,-1,117866,17740,1330,7095,40000,5000,1330,7095,2090
1,3,2,44,2,2,0,0,0,2,8303,9651,10488,12314,0,1651,1000,2000,1500
1,1,1,53,2,2,2,2,2,2,140774,142460,144098,147124,6300,5500,5500,5500,5000
2,1,2,39,-1,-1,-1,0,0,-2,0,3968,3868,0,0,3968,0,0,0
2,1,2,27,-2,-2,-2,-2,-2,-2,5555,0,0,0,7555,0,0,0,0
2,2,1,37,-1,-1,-1,-1,-1,-2,1602,840,840,0,1602,840,840,0,7736
2,2,2,23,0,0,0,0,0,0,46850,47214,19595,19209,1937,1301,682,690,835
1,2,2,35,0,0,0,0,0,0,85996,87653,35565,30942,3621,3597,1179,1112,1143
1,1,1,43,-1,-1,-1,-1,-1,0,8322,3394,6451,26370,8339,3394,12902,27000,68978
1,1,2,27,0,0,0,0,0,0,86108,89006,89775,87725,4031,10006,3266,4040,800
2,3,1,22,0,0,0,0,0,0,18160,16997,13150,8866,1411,1194,379,281,197
1,2,1,38,0,0,0,0,0,-1,19367,19559,18240,17928,1699,1460,626,1750,0
1,1,2,32,-2,-2,-2,-2,-2,-2,10212,850,415,100,10212,850,415,100,0
2,1,2,30,-2,-2,-1,0,0,0,-303,32475,32891,33564,223,33178,1171,1197,5000
1,1,1,63,0,0,0,2,2,0,431342,479432,487066,471145,16078,55693,17000,0,24200
2,3,2,22,0,0,0,0,0,0,42254,38347,32496,23477,1767,1362,1002,840,904
2,2,2,26,2,2,2,2,2,0,55208,59175,60218,55447,0,5000,2511,6,3000
2,2,2,24,-1,-1,-2,-2,-2,-1,0,0,0,0,0,0,0,0,2000
2,2,1,36,-1,-1,-1,-1,-1,-1,2861,3277,3319,1150,2861,3279,3319,1150,1035
1,1,2,52,-1,-1,-1,-1,-1,-1,2272,722,867,1150,2272,722,867,1150,5011
1,2,2,38,0,0,0,-1,-1,-1,178382,39940,120483,44127,10908,0,133657,4566,4796
1,2,1,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,0,0,0,0,0
2,1,1,31,0,0,2,0,0,0,108431,105594,105896,106491,9260,0,3593,4100,0
1,3,1,47,0,0,2,0,0,0,14722,15181,15928,16671,2000,1000,1000,1000,1000
1,2,1,41,2,2,2,2,2,3,138532,134813,144401,152174,6500,0,14254,14850,5000
2,1,2,24,0,0,0,0,0,0,52692,54477,56076,60100,2000,2677,3076,5080,2033
1,2,2,41,0,0,0,0,0,0,19294,20259,20274,20311,1340,1305,700,718,684
1,1,2,24,-1,2,0,0,3,2,17618,18631,21319,20692,0,1312,3000,0,1000
1,1,2,28,-1,-1,-1,-1,-1,-1,326,326,5676,476,326,326,5676,476,526
1,2,2,26,2,0,0,0,0,0,15493,16630,17055,17629,2000,1700,1000,1000,1000
1,2,1,34,-1,-1,-1,-1,-1,-1,9666,11867,7839,14837,9677,11867,7839,14837,5712
2,2,2,38,0,0,0,0,-1,-1,51445,53015,52479,1307,2000,3000,3000,1307,563
1,3,2,37,2,2,2,3,2,2,45976,48953,48851,49318,1000,4035,1000,1400,0
1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,2,1,35,2,0,0,0,0,0,311243,306314,258610,246491,13019,11128,8407,8599,5987
1,1,2,27,0,0,0,0,0,0,18962,19298,19378,19717,1404,1130,600,861,0
1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
1,3,2,52,0,0,0,0,0,0,99530,98951,100914,103146,3568,3585,3602,3848,3784
1,1,1,36,0,0,0,0,0,0,116422,99278,95766,97753,4655,2690,2067,2142,1000
1,2,1,51,0,0,0,0,0,0,3899,4503,5347,6375,1000,1066,1300,1500,134
1,3,1,55,3,2,2,0,0,0,61450,57244,28853,29510,2504,7,1200,1200,1500
2,1,2,23,1,-2,-2,-2,-1,-1,5645,3508,-27,13744,5645,3508,27,13771,3024
1,1,2,41,1,-1,-1,0,0,-1,2622,3301,3164,360,2622,3301,0,360,924
1,2,1,34,0,0,0,0,0,0,247743,229049,220951,210606,9744,9553,7603,7830,11326
1,3,1,46,0,0,0,0,0,0,228719,229644,227587,227775,8210,8095,8025,8175,8200
2,2,2,22,0,0,0,0,0,0,26145,26712,25350,17603,2000,1400,0,500,1560
1,2,1,34,0,0,0,2,2,2,12035,13681,13269,14158,1500,1800,0,1000,327
1,1,2,27,0,0,0,0,0,0,19342,22000,24614,27200,2500,3000,3000,3000,5000
2,2,1,33,0,0,0,0,0,0,7997,8792,9189,4404,1500,1500,1000,500,546
2,3,1,51,-1,-1,-1,-1,-2,-2,300,5880,0,0,300,5880,0,0,0
1,1,2,24,0,0,0,0,0,0,50143,49586,19430,19375,2360,1700,1000,900,2130
1,1,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
1,2,2,28,-1,-1,-1,-1,-1,-1,0,832,332,416,0,416,332,500,832
1,2,2,23,1,2,2,2,0,0,10833,20583,19996,19879,1000,10000,400,700,600
1,2,2,29,-2,-2,-2,-2,-2,-2,10000,10000,10000,9983,10000,10000,10000,9983,10000
1,1,2,29,-1,-1,-1,-1,0,-1,15586,344,2340,6702,15586,344,2340,4702,330
1,1,2,28,0,0,0,0,0,3,5913,7315,9195,10624,1000,1500,2000,1583,0
2,2,2,27,0,0,0,0,0,0,20313,20852,17560,17918,1661,1200,351,358,0
1,1,2,34,1,2,0,0,0,0,176192,93069,135668,132233,8000,5000,55500,5000,8500
2,2,1,23,1,2,3,2,0,0,10522,10205,9898,10123,1650,0,0,379,1
2,1,1,60,1,-2,-1,-1,-1,-1,-1100,21400,0,969,0,22500,0,969,0
1,2,1,32,0,0,0,0,2,0,78142,68336,64648,58319,3455,3110,5000,0,2602
1,1,2,25,0,0,0,0,0,0,55744,43476,41087,41951,30000,3000,6000,8000,14000
1,1,2,41,1,-1,-1,-1,-1,-2,2906,1000,630,0,2906,1000,630,0,0
2,2,1,56,0,0,0,0,0,0,182350,132257,101783,177145,8042,6700,5137,100000,6321
2,3,2,26,0,0,0,0,0,0,10406,11427,11935,13084,1700,1500,1000,1500,1500
1,1,1,34,0,0,0,0,0,0,28049,32073,43129,47086,5000,5000,11885,5000,5504
2,1,2,37,0,0,0,0,0,0,102870,89643,90938,92505,4000,3250,3250,3500,5000
2,3,2,30,0,0,0,0,0,0,196143,189524,167163,146975,7300,7108,7680,6200,4500
1,3,1,45,2,3,4,4,5,6,122904,129847,137277,145533,10478,10478,11078,11078,10478
1,3,1,57,3,2,0,0,0,0,12362,13447,13427,13711,0,1600,500,500,600
1,1,2,41,2,2,2,2,2,0,27453,26718,28168,27579,3500,0,2200,0,1250
1,2,2,27,2,-1,-1,-1,-1,2,390,780,216,1080,390,780,216,864,390
1,3,1,47,-1,-1,-1,-1,0,-1,396,396,792,396,396,396,792,0,369
2,1,1,34,0,0,2,0,0,0,156858,151841,152803,155997,17994,0,5469,5656,3920
2,2,1,46,0,0,0,0,0,0,23803,24908,26034,26655,3000,1500,1500,1000,1500
2,1,2,27,0,0,0,0,0,0,104795,104855,74737,76058,5500,3900,3000,2900,2800
1,1,2,50,-2,-2,-2,-2,-2,-2,15130,8204,15398,4792,15383,8204,15413,4792,4699
1,2,1,27,-1,2,2,0,0,0,96847,58824,29336,22979,3166,0,1330,1398,50000
2,2,1,35,0,0,0,0,0,2,73854,75526,77317,85852,3500,3500,3652,10000,0
2,2,2,22,0,0,0,0,0,0,29092,29366,27737,28318,1510,1442,982,1017,567
1,2,2,37,0,0,0,0,0,0,33397,30534,27598,26344,5000,2000,3000,4000,2000
2,1,2,30,-1,-1,-1,-1,-1,-1,3280,0,4340,2672,3288,0,4340,2672,746
2,2,2,22,-1,0,0,0,0,0,15273,11650,7457,3115,15000,1000,149,0,10000
2,1,2,24,1,-2,-2,-2,-2,-2,-709,-709,-2898,-3272,0,0,0,0,0
1,1,2,29,1,-2,-1,-1,-2,-2,0,77,0,0,0,77,0,0,0
1,3,1,56,1,2,2,2,2,3,65978,67282,68557,72796,3000,3000,3000,5500,0
1,1,2,30,-2,-1,0,0,0,0,100,600,1438,1919,504,500,1000,500,0
1,2,2,30,1,2,0,0,0,2,47801,48363,30221,22877,0,1500,1000,2000,2000
2,2,2,22,0,0,0,0,0,0,12622,13221,13130,14034,1212,1201,500,1500,1000
2,2,1,29,0,0,2,0,0,0,81811,80250,61467,10662,5800,1000,600,400,0
1,1,2,37,-1,-1,2,0,0,-1,26578,25331,26605,26279,15000,0,2000,0,65935
2,3,2,35,0,-1,0,0,0,0,12412,14873,17364,17770,12500,6500,3000,2000,2000
2,1,1,47,0,0,0,0,0,0,110616,110340,122967,108834,70010,30357,30000,20000,20000
2,2,1,24,0,0,0,0,0,0,57891,48839,18971,19323,2500,1600,3000,1000,2000
1,2,2,25,0,0,0,0,0,-1,11677,13070,12280,1615,1200,1593,601,135,0
2,2,1,38,1,2,0,0,2,0,13961,15323,16268,15868,0,1600,1500,0,1500
2,1,2,32,1,-1,-1,-1,-1,-1,57077,5287,68445,13881,57087,5295,68454,13889,38313
2,3,2,47,2,2,2,2,2,2,202947,193936,196186,200162,8214,7000,6800,7134,6836
2,2,1,34,1,-1,0,0,0,0,5396,10270,13576,13864,5396,5000,3500,501,2000
2,2,2,31,1,5,4,4,3,2,21087,21461,20835,20219,0,1000,0,0,0
1,1,2,32,0,0,0,0,0,0,62147,62102,65875,60387,10020,6031,10057,5028,4223
2,1,2,27,2,0,0,0,2,0,20347,21669,23005,22499,1342,1664,2000,0,846
2,1,2,29,-1,-1,-1,-2,-1,0,199,0,0,17227,199,0,0,17227,5114
2,1,2,24,-1,-1,2,0,0,-2,22087,21282,10200,0,37867,0,200,0,0
1,2,1,36,0,0,0,0,-1,-1,18114,18250,-14,72,2000,1000,2000,500,20011
2,1,2,24,1,2,2,2,2,2,37188,37680,38462,39228,1900,1400,1700,1532,0
2,2,1,34,-2,-2,-2,-2,-2,-2,0,0,116,0,0,0,116,0,0
2,1,2,22,0,0,0,0,-1,0,19446,19065,8332,18868,1500,1032,541,20000,1000
2,1,1,34,-2,-2,-2,-1,-1,-1,138,2299,1251,1206,138,2299,1251,1206,15816
2,3,2,22,1,2,2,0,0,0,29256,28122,29836,1630,1000,85,1714,104,0
2,1,1,38,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
1,1,2,31,0,0,2,0,0,2,27299,17985,20225,27407,25000,0,3000,7800,2500
2,1,2,26,-1,0,-1,-1,-1,-1,18000,13001,5818,13506,10000,13001,5841,13506,7004
1,2,2,26,0,0,0,0,0,0,110578,113736,116000,119131,5000,5000,4152,5000,5000
2,2,1,48,0,0,0,0,0,0,231878,234192,190211,173557,9100,7300,5800,5600,4100
1,3,1,43,-1,-1,0,0,0,0,20351,20237,19339,19450,22359,1305,1258,1459,1700
1,1,1,47,-1,-1,-1,-1,-1,-1,1473,390,390,390,1473,390,390,390,2380
2,2,1,41,-1,-1,-1,-1,-1,-1,1586,343,3763,877,1586,343,3763,877,419
2,2,2,24,0,0,0,0,0,0,81554,79599,49552,49509,3200,3000,2038,2000,1800
2,1,1,50,-1,-1,-1,-1,-2,-2,4337,2854,1690,0,4345,2854,1702,0,258
1,1,2,24,0,0,0,-1,-1,-1,108917,111520,8303,0,5000,5050,8303,0,0
2,1,1,38,1,-2,-1,0,-1,-1,0,250,123,789,0,250,0,789,9616
2,3,1,43,0,0,0,0,0,0,38901,38103,36207,33138,1700,1504,1200,1500,1000
1,2,2,39,0,0,0,2,0,0,28108,18388,12992,7736,3036,2309,0,1000,148
1,2,2,27,2,2,2,2,0,0,303320,307843,479978,305145,13000,11001,0,10484,10367
1,3,1,42,-1,-1,-1,-1,-1,2,390,390,240,1320,390,390,240,1470,0
2,2,1,36,1,-2,-2,-2,-2,-2,-946,-946,-946,-946,0,0,0,0,0
1,2,2,36,2,0,0,0,0,0,78501,78534,80016,76235,3100,3500,3400,3000,3000
2,3,0,31,0,0,0,0,0,0,84229,79288,73315,63818,4000,5000,3000,3000,8954
2,1,2,38,-1,-1,-1,-1,-2,-2,4542,126,0,0,4542,126,0,0,0
2,1,1,40,2,2,2,0,0,0,115468,112157,114690,117845,12000,0,5900,5000,4700
2,3,2,45,0,0,0,0,0,0,334954,335527,333860,335760,12388,12378,12116,12450,11678
2,2,2,35,0,0,0,0,0,0,297268,205629,215827,208464,12019,9006,17000,12000,15000
2,2,2,33,0,0,0,0,0,0,94037,108597,65913,43805,10042,18832,2117,2076,3754
2,3,2,37,1,3,2,0,0,0,51537,49205,30394,30249,0,24,1500,1000,30592
2,1,2,28,0,0,0,0,0,0,131199,128900,125514,127280,6530,4860,22500,4820,4962
1,3,1,44,-1,-1,-1,-1,-1,-2,2686,1864,569,0,2686,1864,569,0,0
1,2,1,37,0,0,0,0,0,0,16511,18902,18768,18650,1609,3000,663,676,782
1,2,2,23,2,0,0,0,0,0,48456,44116,21247,20066,2401,2254,2004,704,1004
2,3,2,24,1,2,0,0,0,0,18165,17233,7630,1730,0,1333,500,100,3200
2,1,2,24,0,0,0,0,0,0,35796,30937,19420,10385,2090,2002,1002,238,389
1,2,2,23,1,2,0,0,2,0,17132,16856,16875,13454,0,1200,1000,0,10000
1,2,1,26,0,0,-2,-1,-1,0,0,0,2624,45567,0,0,2624,45567,2000
1,2,2,34,2,0,0,0,2,2,131383,134379,142323,140120,5000,5000,10000,0,2769
2,2,1,33,0,0,0,0,0,0,36367,20934,20694,20175,1506,1298,1000,721,599
1,1,2,35,-1,-1,-1,-1,-1,-1,3977,6848,1719,1378,3983,6853,1719,1378,2418
2,2,2,27,0,0,0,0,0,0,110050,51547,44384,36900,4500,1745,1566,1208,2529
2,1,2,31,-2,-2,-2,-2,-1,-1,0,7422,893,6082,0,7422,893,6082,3299
2,3,1,50,0,0,0,0,0,0,231669,214642,207642,210375,10116,9150,8008,8000,7714
2,2,3,41,0,0,0,0,0,0,21708,22940,19068,16409,3000,2000,2198,1000,2399
2,1,2,28,1,2,2,-2,-2,-1,20650,0,0,0,0,0,0,0,0
1,1,2,39,0,0,0,0,0,0,47974,48630,50803,30789,1800,2000,3000,2000,2000
2,2,2,27,0,0,0,0,0,0,27724,28676,27990,28790,1800,1750,900,1200,1100
2,1,2,32,-1,-1,2,2,-1,-1,5853,2821,0,2821,2821,0,0,2821,176
2,1,2,40,-1,-1,2,2,2,2,215,139,19,19,355,120,0,0,60
2,2,2,40,0,0,0,0,0,-2,20396,20102,19575,0,1601,2203,2114,0,0
2,2,1,75,0,-1,-1,-1,-1,-1,1631,1536,1010,5572,1631,1536,1010,5572,1184
2,2,2,27,0,0,0,0,0,0,34457,30036,30337,30997,1788,1799,1100,1150,0
1,1,2,25,0,0,0,0,2,0,45781,48139,51137,39450,2504,4007,5056,74,2566
1,3,1,46,0,0,0,0,0,0,15392,16099,16418,16765,1561,1268,587,611,2000
2,2,2,26,1,2,2,0,0,0,51486,48869,30115,29527,1710,136,1206,2002,3003
1,2,2,28,0,0,0,0,0,0,29507,29155,25255,22001,5006,1244,851,955,0
2,2,2,26,0,0,0,0,0,0,105246,104781,105334,107699,5366,5087,3605,3894,3304
2,1,2,28,0,0,0,0,-1,0,47779,28052,7222,99669,7042,2000,1000,99669,10000
2,2,2,29,-1,0,-1,-1,-1,-1,3719,1453,4944,1896,3127,1469,4968,1905,862
1,2,1,25,0,0,0,0,0,0,28513,29341,29928,29533,1565,1393,980,994,886
2,2,1,48,0,-1,-1,-1,-1,-1,1233,862,1355,1130,1233,1075,1355,1130,1347
2,2,1,33,-1,-1,-1,-1,0,-1,2453,9624,52572,7333,2453,9880,52572,1546,0
2,3,1,43,0,0,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
1,1,1,48,2,0,0,0,0,0,213522,201852,169115,172169,10000,9020,6000,5500,5500
2,1,2,29,0,0,0,0,0,0,99414,107686,103776,87265,40010,20094,5000,5001,65000
1,2,2,29,0,0,0,0,0,0,35100,32563,27823,29130,1602,1400,3000,3130,6318
2,1,1,38,-1,-1,-1,-1,2,-1,4664,5969,18941,16578,4664,5969,18941,0,1916
2,1,2,37,-2,-2,-2,-2,-2,-2,50815,0,0,299,51315,0,0,299,0
2,1,2,37,-1,-1,-1,-1,-1,-1,249,5986,188,1644,258,5995,188,1644,4000
2,2,1,25,-1,-1,-2,-1,-1,-1,0,0,316,316,0,0,316,316,316
1,3,2,23,0,0,0,0,0,2,7838,9002,9182,9729,1134,1298,478,847,175
2,3,2,49,0,0,0,0,0,0,91362,72197,49654,28065,4100,3095,1630,561,0
2,1,2,48,0,0,0,0,0,0,34449,33634,34586,34762,1600,1600,1500,1500,1500
1,2,2,27,3,2,2,0,0,-1,14880,14242,13968,14319,1700,0,426,501,1390
1,3,2,32,0,0,0,0,0,0,31545,20974,19713,19848,2035,2004,616,2007,2015
1,1,1,34,-1,2,-1,0,0,0,632,1350,900,450,0,1350,0,0,450
2,1,2,58,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,2,2,33,0,0,0,0,0,0,12852,14024,14512,16325,2000,1322,2000,2000,3000
2,2,2,28,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,2,2,36,0,0,0,0,0,0,69120,68376,30163,14310,4483,12496,3268,3000,2000
1,1,1,40,2,-1,-1,-1,-1,-1,2715,-13,2641,-10,2728,0,2654,0,0
2,1,2,26,-1,-1,-1,-1,-1,-1,316,316,316,316,316,316,316,316,316
1,3,1,33,0,0,0,0,0,0,50462,50654,20046,20067,2007,2199,691,707,697
2,2,1,31,0,0,0,0,0,0,102594,97109,99029,100871,4000,4500,5000,4000,4400
2,1,2,27,0,0,-1,0,0,-2,2458,664,1814,0,1000,664,1500,0,0
1,2,1,44,0,0,0,0,-1,-1,109189,92630,69669,44149,10063,5162,10150,44299,31031
2,3,2,30,0,0,0,0,0,0,153152,147032,122196,103692,7722,6091,3563,3605,3211
2,1,2,28,0,0,0,0,0,0,52656,52600,52336,55831,4173,3000,2025,5000,3000
2,3,1,32,0,0,0,0,0,0,88743,92195,94814,98182,5000,5000,5000,5000,5000
2,1,1,46,-1,-1,-1,-1,-1,-1,41986,21874,20076,16171,41986,21874,20076,16171,19777
1,1,2,38,2,0,0,0,0,0,62804,62769,62683,63663,3276,2026,2000,2000,2502
2,2,1,46,0,0,0,0,0,0,181557,149944,113135,105280,8610,6907,3727,3800,2701
2,2,2,25,2,0,0,0,0,0,71678,70125,69856,69718,3472,2092,2000,2127,1559
2,2,1,46,0,0,0,0,0,0,9900,10605,10765,11765,1295,1000,1000,1000,1000
1,1,2,33,-1,-1,-1,-1,-1,-1,898,325,898,325,898,325,898,325,345293
2,2,2,22,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
1,2,1,43,3,2,2,2,2,2,2610,1914,2182,2000,1100,0,300,0,0
1,2,2,27,0,0,2,0,0,0,10227,9560,9901,9963,3507,0,500,370,700
1,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1500
